id,pe_dir,readout_time
sub-CC210172,-,0.0342002
sub-CC310008,-,0.0342002
sub-CC310203,-,0.0342002
sub-CC310214,-,0.0342002
sub-CC310400,-,0.0342002
sub-CC310407,-,0.0342002
sub-CC320575,-,0.0342002
sub-CC321594,-,0.0342002
sub-CC321899,-,0.0342002
sub-CC410121,-,0.0342002
sub-CC410222,-,0.0342002
sub-CC410243,-,0.0342002
sub-CC410248,-,0.0342002
sub-CC410284,-,0.0342002
sub-CC420236,-,0.0342002
sub-CC510050,-,0.0342002
sub-CC510086,-,0.0342002
sub-CC510115,-,0.0342002
sub-CC510208,-,0.0342002
sub-CC510220,-,0.0342002
sub-CC510237,-,0.0342002
sub-CC510242,-,0.0342002
sub-CC510329,-,0.0342002
sub-CC510342,-,0.0342002
sub-CC510393,-,0.0342002
sub-CC510433,-,0.0342002
sub-CC510473,-,0.0342002
sub-CC510474,-,0.0342002
sub-CC510551,-,0.0342002
sub-CC510609,-,0.0342002
sub-CC510629,-,0.0342002
sub-CC510648,-,0.0342002
sub-CC520053,-,0.0342002
sub-CC520517,-,0.0342002
sub-CC610039,-,0.0342002
sub-CC610050,-,0.0342002
sub-CC610061,-,0.0342002
sub-CC610071,-,0.0342002
sub-CC610146,-,0.0342002
sub-CC610210,-,0.0342002
sub-CC610227,-,0.0342002
sub-CC610288,-,0.0342002
sub-CC610292,-,0.0342002
sub-CC610308,-,0.0342002
sub-CC610469,-,0.0342002
sub-CC610614,-,0.0342002
sub-CC610625,-,0.0342002
sub-CC710088,-,0.0342002
sub-CC710154,-,0.0342002
sub-CC710313,-,0.0342002
sub-CC710416,-,0.0342002
sub-CC720071,-,0.0342002
sub-CC720238,-,0.0342002
sub-CC720622,-,0.0342002
